latin_name,activity_type,study_name,trial_number,state,objective_value,mean_auc,std_auc,stability_penalty,stability_penalty_score,feature_penalty,target_features,n_features,excess_features,feature_penalty_score,mean_abs_correlation,correlation_penalty,correlation_penalty_score
Myotis daubentonii,In flight,sdm_tuning_Myotis_daubentonii_In_flight,345,COMPLETE,0.6046919166812651,0.771628631609404,0.05760647241320517,0.25,0.014401618103301293,0.001,10,21,11,0.142,0.21070193649675034,0.05,0.010535096824837518
Myotis daubentonii,In flight,sdm_tuning_Myotis_daubentonii_In_flight,346,COMPLETE,0.6023300668934304,0.7721189021074842,0.0670751794046177,0.25,0.016768794851154425,0.001,10,21,11,0.142,0.2204008072579878,0.05,0.011020040362899391
Myotis daubentonii,In flight,sdm_tuning_Myotis_daubentonii_In_flight,347,COMPLETE,0.5859125768295197,0.766389537954511,0.10739343267508311,0.25,0.026848358168770778,0.001,10,21,11,0.142,0.23257205912441212,0.05,0.011628602956220606
Myotis daubentonii,In flight,sdm_tuning_Myotis_daubentonii_In_flight,348,COMPLETE,0.5768573596733881,0.7560208723808987,0.10380405424690059,0.25,0.025951013561725148,0.001,10,21,11,0.142,0.22424998291570816,0.05,0.011212499145785409
Myotis daubentonii,In flight,sdm_tuning_Myotis_daubentonii_In_flight,349,COMPLETE,0.6051464586335167,0.7636400148680069,0.10962700560499168,0.25,0.02740675140124792,0.001,10,20,10,0.12000000000000001,0.22173609666484567,0.05,0.011086804833242285
Myotis daubentonii,In flight,sdm_tuning_Myotis_daubentonii_In_flight,350,COMPLETE,0.5753587883116695,0.7550024039027515,0.10649430091273034,0.25,0.026623575228182584,0.001,10,21,11,0.142,0.2204008072579878,0.05,0.011020040362899391
Myotis daubentonii,In flight,sdm_tuning_Myotis_daubentonii_In_flight,351,COMPLETE,0.5490182128762048,0.7520530024282772,0.10333021923434507,0.25,0.025832554808586268,0.001,10,22,12,0.166,0.2240446948697231,0.05,0.011202234743486155
Myotis daubentonii,In flight,sdm_tuning_Myotis_daubentonii_In_flight,352,COMPLETE,0.6056507365177669,0.7850484523278144,0.10601349418453562,0.25,0.026503373546133906,0.001,10,21,11,0.142,0.21788684527827318,0.05,0.01089434226391366
Myotis daubentonii,In flight,sdm_tuning_Myotis_daubentonii_In_flight,353,COMPLETE,0.6136349492429463,0.7810745852534479,0.05818117498635197,0.25,0.014545293746587992,0.001,10,21,11,0.142,0.21788684527827318,0.05,0.01089434226391366
Myotis daubentonii,In flight,sdm_tuning_Myotis_daubentonii_In_flight,354,COMPLETE,0.5800480432379186,0.7594875421213918,0.10490799895075151,0.25,0.026226999737687877,0.001,10,21,11,0.142,0.22424998291570816,0.05,0.011212499145785409
Myotis daubentonii,In flight,sdm_tuning_Myotis_daubentonii_In_flight,355,COMPLETE,0.5737992254124419,0.7646250393443186,0.05664814626508159,0.25,0.014162036566270398,0.001,10,22,12,0.166,0.21327554731212647,0.05,0.010663777365606324
Myotis daubentonii,In flight,sdm_tuning_Myotis_daubentonii_In_flight,356,COMPLETE,0.5286737722485567,0.7572315853079369,0.10359186792929692,0.25,0.02589796698232423,0.001,10,23,13,0.192,0.21319692154111694,0.05,0.010659846077055848
Myotis daubentonii,In flight,sdm_tuning_Myotis_daubentonii_In_flight,357,COMPLETE,0.558915060461496,0.7784822331260299,0.06951942556074586,0.25,0.017379856390186466,0.001,10,23,13,0.192,0.20374632548694868,0.05,0.010187316274347435
Myotis daubentonii,In flight,sdm_tuning_Myotis_daubentonii_In_flight,358,COMPLETE,0.5570982580621945,0.7771470116792351,0.07144574937077222,0.25,0.017861437342693055,0.001,10,23,13,0.192,0.20374632548694868,0.05,0.010187316274347435
Myotis daubentonii,In flight,sdm_tuning_Myotis_daubentonii_In_flight,359,COMPLETE,0.5318800941816884,0.7875542577964453,0.1026202868801187,0.25,0.025655071720029676,0.001,10,24,14,0.22,0.2003818378945457,0.05,0.010019091894727286
Myotis daubentonii,In flight,sdm_tuning_Myotis_daubentonii_In_flight,360,COMPLETE,0.48177157846065655,0.769630451634231,0.10989643069747126,0.25,0.027474107674367816,0.001,10,25,15,0.25,0.20769530998413227,0.05,0.010384765499206614
Myotis daubentonii,In flight,sdm_tuning_Myotis_daubentonii_In_flight,361,COMPLETE,0.5136860493588455,0.8361041209823837,0.12105096927783805,0.25,0.030262742319459513,0.001,10,26,16,0.28200000000000003,0.20310658608157486,0.05,0.010155329304078744
Myotis daubentonii,In flight,sdm_tuning_Myotis_daubentonii_In_flight,362,COMPLETE,0.48041614196219323,0.8362571326545192,0.11877659355634573,0.25,0.029694148389086433,0.001,10,27,17,0.316,0.2029368460647894,0.05,0.010146842303239471
Myotis daubentonii,In flight,sdm_tuning_Myotis_daubentonii_In_flight,363,COMPLETE,0.5122731345441054,0.8279631739500353,0.09743808259105365,0.25,0.02435952064776341,0.001,10,26,16,0.28200000000000003,0.18661037516332948,0.05,0.009330518758166475
Myotis daubentonii,In flight,sdm_tuning_Myotis_daubentonii_In_flight,364,COMPLETE,0.38839211721778555,0.8182351697977367,0.1211423584725495,0.25,0.030285589618137376,0.001,10,29,19,0.39,0.19114925923627454,0.05,0.009557462961813729
Myotis daubentonii,In flight,sdm_tuning_Myotis_daubentonii_In_flight,365,COMPLETE,0.4323366513216724,0.7511966597702804,0.10614725530743867,0.25,0.026536813826859667,0.001,10,26,16,0.28200000000000003,0.20646389243496494,0.05,0.010323194621748247
Myotis daubentonii,In flight,sdm_tuning_Myotis_daubentonii_In_flight,366,COMPLETE,0.4727903479183698,0.8295545949408484,0.12638824281599653,0.25,0.03159706070399913,0.001,10,27,17,0.316,0.18334372636958826,0.05,0.009167186318479414
Myotis daubentonii,In flight,sdm_tuning_Myotis_daubentonii_In_flight,367,COMPLETE,0.47343288764525504,0.8278920578770723,0.11343259795009308,0.25,0.02835814948752327,0.001,10,27,17,0.316,0.202020414885881,0.05,0.01010102074429405
Myotis daubentonii,In flight,sdm_tuning_Myotis_daubentonii_In_flight,368,COMPLETE,0.5852169512522062,0.7838374370726301,0.0887814758513892,0.25,0.0221953689628473,0.001,10,22,12,0.166,0.20850233715153144,0.05,0.010425116857576572
Myotis daubentonii,In flight,sdm_tuning_Myotis_daubentonii_In_flight,369,COMPLETE,0.5631668180929996,0.785236666261843,0.08169039528819282,0.25,0.020422598822048204,0.001,10,23,13,0.192,0.19294498693590412,0.05,0.009647249346795207
Myotis daubentonii,In flight,sdm_tuning_Myotis_daubentonii_In_flight,370,COMPLETE,0.6200320867008513,0.7760551633863404,0.10351371835337057,0.25,0.025878429588342643,0.001,10,20,10,0.12000000000000001,0.20289294194292856,0.05,0.01014464709714643
Myotis daubentonii,In flight,sdm_tuning_Myotis_daubentonii_In_flight,371,COMPLETE,0.5419844298658674,0.7917971683570793,0.08365385941841187,0.25,0.020913464854602968,0.001,10,24,14,0.22,0.1779854727321789,0.05,0.008899273636608945
